date,1_cap_pres,2_balanced,3_aggressive,4_tactical,spy,qqq,60_40,sso
2012-09-25,116168.27298041388,113293.48423994986,133023.30169867567,104783.32344674433,139609.2435269412,163035.87767036186,148259.2709384771,159160.43533329768
2012-09-26,115789.09592493279,112872.47883275012,132493.62424356464,104474.62663191633,138824.5829021054,161708.0348748417,148364.7165304761,157818.61594352
2012-09-27,116136.70916652845,113779.358840884,133466.02269275882,105039.55311321076,140132.44434687495,163936.8571878406,148803.96188831047,160048.82127255353
2012-09-28,115853.19728625577,113420.19564245988,133223.8489123604,104830.7732441336,139483.3644992271,162585.3879116225,148413.69820921868,158936.82542092915
2012-10-01,116151.21163746345,113160.18999909452,132671.62748812267,104685.58326856422,139851.51542732833,162348.29927987544,148867.13079182,159566.06970391137
2012-10-02,115075.26669770152,113512.79844929393,133156.89231422616,105084.87222609228,139996.82607500305,162822.50705539805,148878.59360998866,159814.76184927076
2012-10-03,115671.74793599767,113672.99040817583,133744.12372801494,105326.94512003972,140568.4325319251,163865.713308167,149262.7958749433,160793.54635830908
2012-10-04,115934.44052073525,114317.54811389797,134643.32387756192,105933.79734305368,141576.02717389725,164434.81349217487,149164.49199624275,162522.39877050556
2012-10-05,116049.88473801877,114042.17235510482,134161.88486216683,105722.63033433055,141585.7195497001,163557.5723328317,148409.7141230909,162539.08833508132
2012-10-08,116221.2592775238,113808.81037636269,134325.67597027007,105480.66083822327,141101.2788593067,162063.7746145619,148588.47341073054,161704.8882291026
2012-10-09,115812.02789834002,113031.34793403973,133324.5119366343,104811.48546393312,139706.21415332457,159479.293927252,147592.1570306126,159306.73013822365
2012-10-10,115014.55739656417,112501.36922525382,133172.93102068227,104841.48647787503,138814.8811526316,158673.04408744015,147434.50499691977,157782.15215149726
2012-10-11,114911.63718775127,112955.39043312009,133381.0340581083,105070.52116320282,138892.3545433574,158175.14880716277,147890.78156943613,157914.24085360573
2012-10-12,114973.0314982578,112923.28916579757,133312.25538595393,104995.67299847366,138437.01910138552,158104.00492748918,147748.32850675896,157137.6975634175
2012-10-15,115370.86662659096,113419.59458347029,133976.1016366933,105325.92657772244,139589.91501736143,159265.80126417437,148350.6431205148,159100.64877700194
2012-10-16,116142.98893931619,114425.59449926946,134899.81636486115,105968.60177481495,141004.42071697523,161518.4229593657,148435.66579313032,161518.96933919293
2012-10-17,116256.8978029115,113935.39750440189,134572.86655088133,105843.24550202962,141643.89255185914,161423.5508922327,148303.26573143378,162617.73097198468
2012-10-18,116012.64511231476,113941.79436180693,134560.4056397215,106296.41266989047,141275.71350274494,159550.37678286867,147713.93431159697,161983.68554496652
2012-10-19,115070.53650780205,112699.89614561017,133187.55591697004,105353.37918109336,138921.42229709495,155732.97622055234,146990.43738721573,157934.61627946378
2012-10-22,114246.98962830202,112592.99853921258,133262.0078487073,105179.17906602155,138940.78830135864,156539.07350022192,146629.48860116221,157967.6410182155
2012-10-23,113324.56415073934,112637.14268397243,132460.91367323848,104641.85922351028,137012.8397733109,155045.28595262824,146226.12125424354,154679.6920504904
2012-10-24,113862.05980883696,112275.5952082563,131602.9507869786,104094.54474725187,136625.29471993298,154499.97498013667,145399.4909484665,154023.41761360518
2012-10-25,113829.35125529571,113102.26806854008,133015.52244062407,105413.34223487764,137022.51340177175,154499.97498013667,145356.4657422544,154695.11950133604
2012-10-26,113778.70122658418,112329.86349945769,132913.2209321479,105366.24665294,136945.00251636197,154950.48508022833,146158.89720567293,154563.8576154229
2012-10-31,113840.07026936929,112272.45305604137,132870.19308468534,104928.34335160356,136945.00251636197,154002.06952918315,146503.46725929476,154563.8576154229
2012-11-01,114939.12776829081,114190.74429921684,134448.6683443096,106424.77350419437,138378.90234125243,156183.46597929168,146935.87671975803,156991.42800094324
2012-11-02,113917.0092949423,113293.88113965356,132610.02301042146,104647.483837612,137148.41117682782,154523.63197286302,146108.71910122354,154897.4321484992
2012-11-05,114489.38544030595,113696.97147704268,133314.60438088916,104778.03214873426,137429.43383308436,155543.28293966714,146619.1997390553,155373.5188284997
