date,R_t,n_indicators
2009-01-13,0.6843,22
2009-01-14,0.707,22
2009-01-15,0.7056,22
2009-01-16,0.6873,22
2009-01-20,0.7275,22
2009-01-21,0.6827,22
2009-01-22,0.6885,22
2009-01-23,0.679,22
2009-01-26,0.682,22
2009-01-27,0.6767,22
2009-01-28,0.6697,22
2009-01-29,0.6831,22
2009-01-30,0.7049,22
2009-02-02,0.6948,22
2009-02-03,0.6758,22
2009-02-04,0.6757,22
2009-02-05,0.6737,22
2009-02-06,0.6576,22
2009-02-09,0.6606,22
2009-02-10,0.6829,22
2009-02-11,0.6712,22
2009-02-12,0.6829,22
2009-02-13,0.6631,22
2009-02-17,0.7071,22
2009-02-18,0.6722,22
2009-02-19,0.6728,22
2009-02-20,0.6886,22
2009-02-23,0.713,22
2009-02-24,0.7027,22
2009-02-25,0.6902,22
2009-02-26,0.6944,22
2009-02-27,0.6969,22
2009-03-02,0.7227,22
2009-03-03,0.7159,22
2009-03-04,0.6797,22
2009-03-05,0.724,22
2009-03-06,0.7139,22
2009-03-09,0.7289,22
2009-03-10,0.6869,22
2009-03-11,0.6908,22
2009-03-12,0.6811,22
2009-03-13,0.6619,22
2009-03-16,0.6735,22
2009-03-17,0.6322,22
2009-03-18,0.65,22
2009-03-19,0.6547,22
2009-03-20,0.6398,22
2009-03-23,0.6254,22
2009-03-24,0.65,22
2009-03-25,0.6361,22
2009-03-26,0.6291,22
2009-03-27,0.6347,22
