ticker,shortName,sector,industry,marketCap,tech_score,fund_score,composite,composite_rank,tech_rank,fund_rank,ma200_dist,rsi,rel_str_6m,ma200_rank,rsi_rank,rs6m_rank,forwardPE,revenueGrowth,grossMargins,returnOnEquity,operatingMargins,freeCashflow,nd_ebitda,forwardPE_rank,revenueGrowth_rank,grossMargins_rank,returnOnEquity_rank,operatingMargins_rank,nd_ebitda_rank
CMCSA,Comcast Corporation,Communication Services,Telecom Services,88359075840.0,8.841659519725557,14.423991181102643,23.2656507008282,340,476,145,-0.0023028144597903033,59.06542809084823,-0.24314029125590209,0.6647727272727273,0.21509433962264146,0.1811320754716981,6.4882946,0.053,0.70129997,0.20918,0.13145,4013125120.0,2.427728719730421,0.9514925373134329,0.29831144465290804,0.8336448598130841,0.6468253968253969,0.3252336448598131,0.40625
PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,119499726848.0,10.345316371259768,12.905277250719942,23.25059362197971,341,396,227,0.04695742798299163,56.53660905604807,-0.09449701864100657,0.4810606060606061,0.26603773584905666,0.49433962264150944,12.640041,0.087,0.18562001,0.37903,0.16393,15501625344.0,,0.6884328358208955,0.48686679174484054,0.13271028037383178,0.8412698412698413,0.43177570093457945,
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,58449870848.0,11.848318086525634,11.389005559907323,23.237323646432955,342,308,320,0.12116344369855825,48.20016183137385,0.01623623032280741,0.2765151515151515,0.4358490566037736,0.7094339622641509,12.19714,0.042,0.72246003,0.0047400002,0.0579,1397250048.0,1.0315789371888122,0.7238805970149254,0.24765478424015008,0.8654205607476636,0.0873015873015873,0.14392523364485982,0.6651785714285714
CRM,"Salesforce, Inc.",Technology,Software - Application,148018642944.0,8.131194015627978,15.096054795904587,23.227248811532565,343,511,118,0.2872811293180997,80.77672383357584,0.22117972541988218,0.07196969696969702,0.005660377358490565,0.8981132075471698,12.105982,0.121,0.77676004,0.123959996,0.19239001,16366999552.0,2.401193806622062,0.7276119402985075,0.6397748592870544,0.9046728971962616,0.4146825396825397,0.5233644859813084,0.4129464285714286
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,62789611520.0,13.583893177053556,9.602621705572563,23.18651488262612,344,217,435,-0.2452248521788606,39.764497667470955,-0.4766855650820119,0.9678030303030303,0.6377358490566039,0.024528301886792454,23.234661,0.001,0.40919998,0.16016,0.06942,1313874944.0,0.40900791766616085,0.26679104477611937,0.11538461538461539,0.4373831775700935,0.5238095238095238,0.1822429906542056,0.7790178571428572
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,36145819648.0,13.350902896893466,9.82760655380866,23.178509450702126,345,227,420,0.02760623012255281,31.381733230297797,-0.2140433527983472,0.5587121212121212,0.8075471698113208,0.2358490566037736,15.257453,0.047,0.18537001,0.81894994,0.03748,1868375040.0,2.9523702704529065,0.5690298507462687,0.27861163227016883,0.1308411214953271,0.9523809523809523,0.10186915887850467,0.3258928571428571
DELL,Dell Technologies Inc.,Technology,Computer Hardware,153658621952.0,10.943515342100248,12.212917495535761,23.15643283763601,346,365,264,0.8539914094675951,54.06970685254897,1.8620621018688446,0.0037878787878787845,0.309433962264151,1.0,16.002087,0.395,0.20125,,0.09623,6606750208.0,1.4463562346272596,0.541044776119403,0.9305816135084428,0.15327102803738318,,0.2261682242990654,0.5915178571428572
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,38464454656.0,9.00764722698685,14.134815107558952,23.1424623345458,347,467,158,0.056209051679707134,61.531349295396744,-0.10779889542100118,0.44318181818181823,0.17358490566037732,0.4641509433962264,25.585943,0.065,0.54107,0.2514,0.39723,1003075008.0,,0.21082089552238803,0.3696060037523452,0.6392523364485981,0.7063492063492064,0.9009345794392524,
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,57807278080.0,15.424170954831332,7.6834435113976305,23.107614466228963,348,99,502,0.044850861342857096,23.383984919110404,-0.11622089130802848,0.48863636363636365,0.9226415094339623,0.439622641509434,16.216064,-0.089,0.13583,0.13108,0.103190005,1485162496.0,1.8794778088479156,0.5317164179104478,0.03189493433395872,0.08971962616822429,0.4246031746031746,0.2504672897196262,0.515625
FOX,Fox Corporation,Communication Services,Entertainment,24503162880.0,10.705343529635984,12.3853138041562,23.090657333792183,349,375,252,0.05971503547753576,67.60462552792697,0.04761609667826461,0.42992424242424243,0.09433962264150941,0.7603773584905661,11.058476,-0.086,0.36843,0.152,0.21357,1406499968.0,0.8663060728715037,0.7873134328358209,0.03470919324577861,0.3616822429906542,0.5,0.5934579439252337,0.6953125
