date,tier,R_t,cash_pct,n_holdings,turnover,holdings
2017-12-01,1_cap_pres,0.426,0.569,12,0.417,"V,INCY,MA,VST,LLY,GILD,ABBV,BMY,MRK,BSX,AMGN,AMP"
2018-01-02,1_cap_pres,0.357,0.517,12,0.667,"LLY,MCO,BRO,BMY,NDAQ,AON,AMP,CME,MA,ICE,FDS,AJG"
2018-02-01,1_cap_pres,0.583,0.687,12,0.583,"LLY,INCY,MO,UNP,AMP,BMY,JNJ,AMGN,ICE,REGN,AFL,NDAQ"
2018-03-01,1_cap_pres,0.593,0.695,12,0.583,"MO,AMP,INCY,LLY,GILD,MNST,MRK,ZBH,KO,ABBV,TDG,JNJ"
2018-04-02,1_cap_pres,0.729,0.797,12,0.5,"AMP,ABBV,INCY,AMGN,BRO,MO,EFX,DVA,MA,BMY,LLY,KO"
2018-05-01,1_cap_pres,0.555,0.666,12,0.417,"MO,BMY,INCY,AMP,CME,GILD,LLY,AMGN,CL,ALLE,EFX,PM"
2018-06-01,1_cap_pres,0.473,0.605,12,0.833,"ABBV,V,AON,MO,PM,UHS,JNJ,MA,GPN,ZBH,MKC,AJG"
2018-07-02,1_cap_pres,0.485,0.614,12,0.667,"ABBV,AFL,MCO,NDAQ,BLK,AMP,CME,BRO,AON,ICE,V,MA"
2018-08-01,1_cap_pres,0.284,0.463,12,0.5,"INCY,MA,MSCI,CME,ICE,SPGI,MCO,FDS,VST,PODD,V,AMP"
2018-09-04,1_cap_pres,0.293,0.469,12,1.0,"KO,ABBV,TDG,GILD,ZTS,MO,LLY,PM,TROW,MNST,PEP,MRK"
2018-10-01,1_cap_pres,0.226,0.419,12,0.75,"BRO,ICE,NDAQ,ABBV,MCO,LLY,DXCM,MNST,FDS,SPGI,INCY,WTW"
2018-11-01,1_cap_pres,0.619,0.715,12,0.667,"BMY,AMP,GILD,ABBV,LLY,AMGN,REGN,MSCI,VST,MA,MCO,INCY"
2018-12-03,1_cap_pres,0.506,0.629,12,0.583,"MO,BMY,ZTS,PM,GILD,V,BRO,MA,AMP,DXCM,INCY,CBOE"
2019-01-02,1_cap_pres,0.805,0.854,12,0.583,"PM,MO,JNJ,AON,FDS,MNST,PODD,ICE,V,MA,GILD,KO"
2019-02-01,1_cap_pres,0.566,0.675,12,0.833,"ABBV,V,AMGN,MO,BRO,RMD,LLY,ZTS,CME,MKC,VST,DXCM"
2019-03-01,1_cap_pres,0.41,0.558,12,0.667,"KO,GILD,ICE,ABBV,CME,VST,AMP,ES,CBOE,ALLE,EW,AMGN"
2019-04-01,1_cap_pres,0.451,0.588,12,0.833,"CME,BMY,MNST,DXCM,JNJ,INCY,BSX,BRO,PM,ABBV,LLY,AJG"
2019-05-01,1_cap_pres,0.47,0.602,12,0.75,"LLY,INCY,ABBV,AMGN,REGN,EW,PODD,ISRG,GILD,MO,MRK,UHS"
2019-06-03,1_cap_pres,0.735,0.801,12,0.75,"MA,ALGN,VST,BLK,GE,MO,INCY,NDSN,TDG,ZBH,V,EW"
2019-07-01,1_cap_pres,0.482,0.612,12,0.583,"AMP,LLY,MO,MA,VST,ALGN,ABBV,MSCI,FDS,BMY,MNST,ZBH"
2019-08-01,1_cap_pres,0.625,0.719,12,0.417,"ABBV,AMP,MSCI,MA,NDAQ,V,MO,AFL,VST,FDS,JNJ,ICE"
2019-09-03,1_cap_pres,0.76,0.82,12,0.417,"MO,GILD,INCY,AFL,AMP,PM,LLY,V,FDS,VEEV,JNJ,ABBV"
2019-10-01,1_cap_pres,0.653,0.74,12,0.5,"GILD,FDS,MO,AMP,V,INCY,PFE,MSCI,MCO,MA,UNP,AMGN"
2019-11-01,1_cap_pres,0.393,0.544,12,0.833,"CME,ICE,MA,ZTS,UHS,LLY,V,VEEV,NDAQ,DXCM,PODD,VRSK"
2019-12-02,1_cap_pres,0.426,0.57,12,0.75,"BRO,BMY,V,AFL,PM,AOS,UHS,IDXX,GILD,DLTR,VST,ZTS"
2020-01-02,1_cap_pres,0.29,0.467,12,0.667,"VST,INCY,MO,GILD,ICE,CME,PODD,UHS,ABBV,EW,VEEV,BMY"
2020-02-03,1_cap_pres,0.594,0.695,12,0.583,"ABBV,AMGN,MO,ALGN,INCY,VST,AMP,REGN,URI,BMY,LLY,A"
2020-03-02,1_cap_pres,0.793,0.845,12,0.583,"AMP,LLY,MO,BMY,AFL,UNP,NDSN,JNJ,ALGN,BLK,PFE,TDG"
2020-04-01,1_cap_pres,0.9,0.925,12,0.75,"MA,ABBV,TDG,BRO,V,AON,ALLE,KO,ZTS,GPN,AMP,ALGN"
2020-05-01,1_cap_pres,0.761,0.821,12,0.417,"BRO,MO,AMP,CME,MA,KO,MRK,AON,V,AJG,ZTS,FDS"
2020-06-01,1_cap_pres,0.57,0.677,12,0.833,"LLY,GILD,BMY,CME,AMGN,MSCI,RMD,DXCM,JNJ,PODD,PFE,KO"
2020-07-01,1_cap_pres,0.567,0.676,12,0.667,"CME,VST,KO,V,AFL,MA,JNJ,ICE,BRO,GPN,PFE,BIIB"
2020-08-03,1_cap_pres,0.447,0.585,12,0.75,"LLY,GILD,ABBV,INCY,VST,AMGN,V,CME,MCO,MO,MSCI,VRTX"
2020-09-01,1_cap_pres,0.371,0.528,12,0.5,"LLY,AMP,BMY,INCY,GILD,MO,ABBV,VST,PFE,AFL,NDSN,FDS"
2020-10-01,1_cap_pres,0.48,0.61,12,0.583,"TDG,ABBV,MO,UAL,LLY,AMP,VST,BSX,V,EFX,UHS,NDAQ"
2020-11-02,1_cap_pres,0.55,0.663,12,0.75,"MA,LLY,V,MO,BRO,GILD,INCY,MCO,AMGN,ICE,AON,CME"
2020-12-01,1_cap_pres,0.289,0.467,12,0.583,"MA,AMGN,ZTS,RMD,V,BMY,LLY,BRO,ISRG,VST,KO,NDAQ"
2021-01-04,1_cap_pres,0.289,0.466,12,0.833,"MO,PFE,AMP,AFL,PM,MRK,FDS,ABBV,CME,AMGN,KO,TDG"
2021-02-01,1_cap_pres,0.319,0.49,12,0.75,"V,MA,BRO,ZTS,KO,MRK,CME,UNP,ALLE,ICE,GPN,EW"
2021-03-01,1_cap_pres,0.251,0.438,12,0.833,"GILD,INCY,VST,MRK,AMGN,LLY,RMD,ABBV,CL,MSCI,ZTS,PFE"
2021-04-01,1_cap_pres,0.201,0.401,12,0.75,"LLY,V,MA,VST,ABBV,ICE,IDXX,BRO,CB,CME,TDG,AMP"
2021-05-03,1_cap_pres,0.184,0.388,12,0.5,"LLY,MO,MA,ICE,VST,AMGN,CME,TDG,RMD,GPN,GILD,DXCM"
2021-06-01,1_cap_pres,0.214,0.411,12,0.5,"AMGN,MO,ICE,MA,GILD,ABBV,JNJ,LLY,MRK,BRO,MSCI,AMP"
2021-07-01,1_cap_pres,0.261,0.446,12,0.583,"INCY,MO,AMP,LLY,WTW,AON,AFL,ABBV,KO,GILD,SNA,BMY"
2021-08-02,1_cap_pres,0.387,0.54,12,0.667,"MA,INCY,V,AMGN,GPN,MO,ABBV,MRK,UAL,WTW,TDG,BLK"
2021-09-01,1_cap_pres,0.244,0.433,12,0.5,"MA,V,LLY,AMGN,BMY,CME,ABBV,UNP,TDG,AMP,GPN,CL"
2021-10-01,1_cap_pres,0.575,0.681,12,0.833,"LLY,BMY,RMD,VST,IDXX,ZTS,VEEV,REGN,MCO,JNJ,PFE,BF-B"
2021-11-01,1_cap_pres,0.367,0.525,12,0.833,"V,MA,GILD,MO,TDG,LLY,MNST,PYPL,BMY,PM,AMGN,BIIB"
