rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
37,UBER,"Uber Technologies, Inc.",Technology,Software - Application,Core,148.2,72.56,73.95,21.0,18.4,10.0,0.0,ok,-0.5,ok,1.25,,False,48.9,16.5,4.9,12.2,40.8,37.2,34.0,-4.6,-14.3,0.22,0.317,MSFT,,126,18.4,16.0,,False
38,AON,Aon plc,Financial Services,Insurance Brokers,Core,65.3,307.77,351.95,20.0,18.9,10.0,0.0,ok,0.0,financial_na,,,False,48.9,15.1,4.9,2.2,48.2,44.7,26.8,-8.5,-16.1,-0.297,0.45,ETN,,126,18.9,15.0,,False
39,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualt,Core,63.7,251.79,257.51,22.0,16.7,10.0,0.0,ok,0.0,financial_na,,,False,48.7,9.1,23.8,11.8,36.8,46.1,46.6,13.4,9.0,-0.367,0.434,TSM,,126,16.7,14.0,,False
40,CINF,Cincinnati Financial Corporati,Financial Services,Insurance - Property & Casualt,Growth,26.0,169.59,176.37,22.0,16.7,10.0,0.0,ok,0.0,financial_na,,,False,48.7,18.8,11.5,31.6,31.1,21.5,53.9,1.6,-9.9,-0.251,0.322,AVGO,,126,16.7,14.0,,False
41,ADP,"Automatic Data Processing, Inc",Technology,Software - Application,Core,106.2,267.33,264.56,20.0,18.6,10.0,0.0,ok,0.0,ok,0.2,,False,48.6,20.0,4.9,6.8,48.7,72.2,35.4,13.1,16.2,-0.262,0.535,ETN,,126,18.6,16.0,,False
42,AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,Core,48.9,553.53,541.5,22.0,16.5,10.0,0.0,ok,0.0,financial_na,,,False,48.5,10.7,5.9,11.6,54.9,63.4,54.2,13.5,12.4,0.205,0.266,MSFT,,126,16.5,15.0,,False
43,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchang,Core,121.0,410.42,428.41,19.5,19.0,10.0,0.0,ok,0.0,financial_na,,,False,48.5,20.3,4.5,10.4,70.9,14.3,39.0,-8.3,-16.0,-0.013,0.366,MSFT,,126,19.0,16.0,,False
44,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Core,3656.6,492.44,467.82,18.0,15.1,15.3,0.0,ok,0.0,ok,0.27,,False,48.4,20.9,0.5,17.7,67.9,34.0,56.9,14.3,8.8,0.153,0.222,NVDA,,126,15.1,18.0,,True
45,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,Core,26.4,223.74,232.11,20.0,18.4,10.0,0.0,ok,0.0,ok,0.3,,False,48.4,21.3,4.1,6.7,45.7,55.0,33.2,9.3,11.5,0.243,0.246,TSM,,126,18.4,12.0,,False
46,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,Core,95.8,354.25,378.22,14.5,16.5,17.3,0.0,ok,0.0,ok,0.78,,False,48.3,19.1,4.6,8.1,15.4,17.8,17.8,0.2,-13.6,-0.003,0.135,GOOG,,126,16.5,21.0,,False
47,MMM,3M Company,Industrials,Conglomerates,Core,84.0,162.86,171.74,21.0,17.8,10.0,0.0,ok,-0.5,ok,1.21,,False,48.3,16.7,7.6,2.5,39.4,81.9,11.0,1.4,-4.5,0.205,0.257,TSM,,126,17.8,14.0,,False
48,MAS,Masco Corporation,Industrials,Building Products & Equipment,Core,13.3,67.64,75.41,20.0,18.8,10.0,0.0,ok,-0.5,ok,1.95,,False,48.3,14.5,6.7,-2.9,37.2,5862.5,27.9,-2.9,-2.3,0.331,0.339,ETN,,126,18.8,14.0,,False
49,SCHW,Charles Schwab Corporation (Th,Financial Services,Capital Markets,Core,185.6,107.33,106.02,21.5,16.8,10.0,0.0,ok,0.0,financial_na,,,False,48.3,13.8,,20.9,97.5,20.3,43.9,10.2,4.3,0.021,0.201,GOOG,,126,16.8,16.0,,False
